export_date,id,risky_from,risky_until,message_type
1609807902,5XXKPJ45,1609286400,1609372799,M1
1609807902,54Y92X4R,1609286400,1609372740,M1
1609807902,5W39KP85,1609286400,1609372740,M1
1609807902,5YX948YR,1609286400,1609372740,M1
1609807902,KRP68W2R,1609286400,1609372740,M1
1609807902,52WM9PKR,1609200000,1609286399,M1
1609807902,5W33X9X5,1609200000,1609286399,M1
1609807902,M53WJ2J5,1609200000,1609286399,M1
1609807902,R8Y64395,1609200000,1609286399,M1
1609807902,RKWY924R,1609200000,1609286399,M1
1609807902,5Y333J95,1609113600,1609199999,M1
1609807902,KR96PY25,1609113600,1609199999,M1
1609807902,R8626KKR,1609113600,1609199999,M1
1609807902,R8P992VR,1609113600,1609199999,M1
1609807902,R8VK3M6R,1609113600,1609199999,M1
1609807902,RPKPJMJ5,1609113600,1609199999,M1
1609807902,5W339XJ5,1609113600,1609199940,M1
1609807902,R9VKV965,1609113600,1609199940,M1
1609807902,RKKYJ9KR,1609113600,1609199940,M1
1609894317,5VXWV8WP,1609372800,1609459199,M1
1609894317,RJ226XMR,1609372800,1609459199,M1
1609894317,52WMMPPR,1609372800,1609459140,M1
1609894317,54886VV5,1609286400,1609372799,M1
1609894317,54MJV2PR,1609286400,1609372799,M1
1609894317,5MMVY3Y5,1609286400,1609372799,M1
1609894317,5W383XM5,1609286400,1609372740,M1
1609894317,R9MYV9VR,1609200000,1609286340,M1
1609980939,RPPPV69R,1609286400,1609372799,M1
1609980939,5WVYK88R,1609286400,1609372740,M1
1609980939,R8Y6XYK5,1609286400,1609372740,M1
1610067576,5283M6P5,1609632000,1609718399,M1
1610067576,56XMJ435,1609545600,1609631999,M1
1610067576,P564JWY5,1609545600,1609631940,M1
1610067576,5W68J8MR,1609459200,1609545599,M1
1610153917,544928X5,1609545600,1609631999,M1
1610153917,RJ2KJPMR,1609545600,1609631940,M1
1610153917,RJVPV28R,1609459200,1609545599,M1
1610240283,5WMMJWJ5,1609632000,1609718399,M1
1610240283,5VXWV8WP,1609545600,1609631999,M1
1610326606,RK8MW9K5,1609977600,1610063999,M1
1610326606,RP2VWP2R,1609718400,1609804799,M1
1610326606,5M832KVR,1609632000,1609718399,M1
1610413157,5WVV83WR,1609804800,1609891199,M1
1610413157,5346XPWR,1609718400,1609804799,M1
1610499955,5Y3VMMX5,1610064000,1610150399,M1
1610499955,R8V94V6R,1609977600,1610063999,M1
1610586856,5W9PMKW5,1610323200,1610409599,M1
1610673087,56XMKWY5,1610150400,1610236799,M1
1610673087,5WXW8WPR,1610150400,1610236799,M1
1611018761,526JJ395,1610496000,1610582340,M1
1611018761,569KY2MR,1610496000,1610582340,M1
1611018761,R9W98W9R,1610496000,1610582340,M1
1611018761,53W8886W,1610409600,1610495940,M1
1611105453,RJV4MKV8,1610755200,1610841540,M1
1611105453,RK3Y343R,1610668800,1610755140,M1
1611105453,4RJM48V5,1610496000,1610582340,M1
1611105453,52WK94WX,1610496000,1610582340,M1
1611105453,53W3338J,1610496000,1610582340,M1
1611105453,5X28JMP8,1610496000,1610582340,M1
1611105453,5Y96J439,1610496000,1610582340,M1
1611105453,MR8P4Y2R,1610496000,1610582340,M1
1611191647,5W92W4X5,1610668800,1610755140,M1
1611277947,5X8WK4J5,1610668800,1610755140,M1
1611277947,52W9MMVK,1610582400,1610668740,M1
1611277947,56VP8P35,1610582400,1610668740,M1
1611364337,5M3M4685,1610668800,1610755199,M1
1611621678,568PX4X5,1611273600,1611359940,M1
1611621678,R8YM29M5,1611100800,1611187140,M1
1611621678,RK2WK225,1611014400,1611100740,M1
1611621678,53W8P4XJ,1610928000,1611014340,M1
1611621678,5M3J24K5,1610928000,1611014340,M1
1611621678,5V9K24KR,1610928000,1611014340,M1
1611708205,5XK44YJR,1611187200,1611273540,M1
1611794447,R84V8MMR,1611273600,1611359940,M1
1611880724,R8VYXK9K,1611273600,1611359940,M1
1611967153,X5X28WY5,1611705600,1611791999,M1
1611967153,R8PKP6VR,1611532800,1611619140,M1
1611967153,X5X3YWWR,1611532800,1611619140,M1
1612226320,52W9V6X9,1611792000,1611878340,M1
1612226320,5X8VYW85,1611792000,1611878340,M1
1612226320,532PY4YR,1611705600,1611791940,M1
1612226320,RK6P6W45,1611705600,1611791940,M1
1612399306,KR9J4XP5,1612137600,1612223940,M1
1612399306,J5WV68VR,1611964800,1612051140,M1
1612399306,V5MW68V5,1611964800,1612051140,M1
1613003521,RK2PKW35,1612483200,1612569599,M1
1614006785,RK89V485,1613520000,1613606340,M1
1614006785,RKYYKKV2,1613520000,1613606340,M1
1614006785,5XWJYJKR,1613433600,1613519940,M1
1614179940,5Y9J982P,1613606400,1613692740,M1
1615216442,R9JYPKKY,1614816000,1614902399,M1
1615821318,RK2WVY85,1615420800,1615593540,M1
1615821318,53W623W5,1615334400,1615420740,M1
1615907940,568M4KJ9,1615593600,1615679940,M1
1615907940,568M88JM,1615593600,1615679940,M1
1617722350,5VX3X6K3,1617321600,1617407999,M1
1617722350,RPVKW8VR,1617231600,1617317940,M1
1617722350,RKYYKKV2,1617145200,1617231540,M1
1617722350,5W9XVKJ5,1617058800,1617145140,M1
1617722350,R8PPX26R,1617058800,1617145140,M1
